model	subword_pooling	layer_pooling	dev_acc	dev_f1	test_acc	test_f1
XLM-MLM-100	first	9	0.9965738381797418	0.9628318584070796	0.994032010127498	0.9138966760112134
XLM-MLM-100	last	0	0.9725028551348502	0.6842105263157895	0.9496789944841306	0.5001920860545525
XLM-MLM-100	last	0	0.971360801194764	0.6723695466210436	0.949633782439642	0.499808355691836
XLM-MLM-100	last	0	0.9719757533163488	0.6683716965046888	0.9485486933719144	0.4876923076923078
XLM-MLM-100	last	1	0.9833084424141264	0.7566182749786508	0.9656840582331132	0.5986342943854324
XLM-MLM-100	last	1	0.9835719933233772	0.7635425623387792	0.966362238900443	0.6113033448673586
XLM-MLM-100	last	1	0.9841869454449618	0.7823834196891192	0.9661813907224884	0.6052531404644079
XLM-MLM-100	last	10	0.994992532724238	0.9255319148936172	0.9924495885703952	0.8936341659951651
XLM-MLM-100	last	10	0.9942897302995696	0.9217081850533808	0.9921331042589746	0.8981744421906694
XLM-MLM-100	last	10	0.995343933936572	0.9333333333333332	0.9927660728818156	0.8914979757085021
