model	subword_pooling	layer_pooling	dev_acc	test_acc
XLM-MLM-100	first	8	0.9505167279733754	0.945061255742726
XLM-MLM-100	first	9	0.954457873533018	0.9508996937212864
XLM-MLM-100	first	9	0.9545454545454546	0.9501339969372128
XLM-MLM-100	first	9	0.9543702925205816	0.9505168453292496
XLM-MLM-100	first	10	0.953757225433526	0.9495597243491576
XLM-MLM-100	first	10	0.9522683482221056	0.9467840735068912
XLM-MLM-100	first	10	0.952005605184796	0.9467840735068912
XLM-MLM-100	first	11	0.9466631634261692	0.941998468606432
XLM-MLM-100	first	11	0.9468383254510422	0.9421898928024502
XLM-MLM-100	first	11	0.9481520406375896	0.9432427258805512
XLM-MLM-100	first	12	0.9471886495007882	0.941998468606432
XLM-MLM-100	first	12	0.9413207216675424	0.9381699846860644
XLM-MLM-100	first	12	0.9467507444386056	0.939605666156202
XLM-MLM-100	first	13	0.9462252583639869	0.9421898928024502
XLM-MLM-100	first	13	0.9449991241898756	0.9409456355283308
XLM-MLM-100	first	13	0.9479768786127168	0.94104134762634
XLM-MLM-100	first	14	0.941057978630233	0.935394333843798
XLM-MLM-100	first	14	0.940707654580487	0.9354900459418072
XLM-MLM-100	first	14	0.9373795761078998	0.9346286370597244
XLM-MLM-100	first	15	0.9350148887721142	0.928790199081164
XLM-MLM-100	first	15	0.9383429672447012	0.9341500765696784
XLM-MLM-100	first	15	0.9376423191452092	0.9323315467075038
XLM-MLM-100	first	16	0.9349273077596776	0.928790199081164
XLM-MLM-100	first	16	0.9362410229462252	0.9316615620214396
XLM-MLM-100	first	16	0.9325626204238922	0.9321401225114856
XLM-MLM-100	last	0	0.8597827990891574	0.8386294027565084
XLM-MLM-100	last	0	0.8595200560518481	0.8387251148545176
XLM-MLM-100	last	0	0.8583815028901735	0.8387251148545176
XLM-MLM-100	last	1	0.8789630408127518	0.8599732006125574
XLM-MLM-100	last	1	0.8798388509371168	0.8622702909647779
XLM-MLM-100	last	1	0.8794885268873708	0.8624617151607963
XLM-MLM-100	last	2	0.9205640217200912	0.9025650842266464
XLM-MLM-100	last	2	0.9180241723594325	0.8993108728943339
XLM-MLM-100	last	2	0.9226659660185672	0.9007465543644716
XLM-MLM-100	last	3	0.9439481520406376	0.9317572741194488
XLM-MLM-100	last	3	0.9442984760903836	0.9345329249617153
XLM-MLM-100	last	3	0.9431599229287092	0.9301301684532924
XLM-MLM-100	last	4	0.950954633035558	0.9388399693721288
XLM-MLM-100	last	4	0.9499036608863198	0.9375
XLM-MLM-100	last	4	0.9499036608863198	0.9395099540581928
XLM-MLM-100	last	5	0.954282711508145	0.9443912710566617
XLM-MLM-100	last	5	0.9536696444210896	0.9425727411944872
XLM-MLM-100	last	5	0.9545454545454546	0.9435298621745788
XLM-MLM-100	last	6	0.9591872482045892	0.9469754977029096
XLM-MLM-100	last	6	0.9591872482045892	0.9469754977029096
XLM-MLM-100	last	6	0.9584866001050972	0.9463055130168452
XLM-MLM-100	last	7	0.9640042038885972	0.9521439509954058
XLM-MLM-100	last	7	0.9633035557891048	0.951186830015314
XLM-MLM-100	last	7	0.963829041863724	0.9513782542113324
XLM-MLM-100	last	8	0.96417936591347	0.9531967840735068
XLM-MLM-100	last	8	0.9637414608512874	0.9533882082695252
XLM-MLM-100	last	8	0.964529689963216	0.9531967840735068
XLM-MLM-100	last	9	0.9651427570502716	0.9536753445635529
XLM-MLM-100	last	9	0.9647924330005256	0.9530053598774884
XLM-MLM-100	last	9	0.9639166228761604	0.9541539050535988
XLM-MLM-100	last	10	0.9653179190751444	0.9529096477794792
XLM-MLM-100	last	10	0.965405500087581	0.9535796324655436
XLM-MLM-100	last	10	0.9653179190751444	0.9538667687595712
XLM-MLM-100	last	11	0.9621650026274304	0.9503254211332312
XLM-MLM-100	last	11	0.9628656507269224	0.9514739663093414
XLM-MLM-100	last	11	0.9619022595901208	0.9508039816232772
XLM-MLM-100	last	12	0.9606761254160098	0.9494640122511484
XLM-MLM-100	last	12	0.9611140304781924	0.9489854517611026
XLM-MLM-100	last	12	0.9612891925030652	0.9515696784073508
XLM-MLM-100	last	13	0.9605009633911368	0.9488897396630934
XLM-MLM-100	last	13	0.9612891925030652	0.94812404287902
XLM-MLM-100	last	13	0.9611140304781924	0.9485068912710568
XLM-MLM-100	last	14	0.9600630583289544	0.9483154670750384
XLM-MLM-100	last	14	0.9597127342792082	0.949176875957121
XLM-MLM-100	last	14	0.9598878963040812	0.9479326186830016
XLM-MLM-100	last	15	0.9604133823787004	0.9478369065849924
XLM-MLM-100	last	15	0.9586617621299702	0.946209800918836
XLM-MLM-100	last	15	0.9592748292170258	0.9476454823889742
XLM-MLM-100	last	16	0.9580486950429148	0.9441998468606432
XLM-MLM-100	last	16	0.9590996671921528	0.9442955589586524
XLM-MLM-100	last	16	0.9598003152916448	0.9465926493108728
distil-mBERT	first	0	0.7518829917673848	0.7559341500765697
distil-mBERT	first	0	0.7528463829041864	0.7573698315467075
distil-mBERT	first	0	0.7527588018917498	0.7565084226646248
distil-mBERT	first	1	0.790856542301629	0.7931661562021439
distil-mBERT	first	1	0.7938342967244701	0.7937404287901991
distil-mBERT	first	1	0.7940094587493431	0.7919218989280244
distil-mBERT	first	2	0.8504992117708879	0.8491577335375191
distil-mBERT	first	2	0.850324049746015	0.8503062787136294
distil-mBERT	first	2	0.8517253459449992	0.8539433384379785
distil-mBERT	first	3	0.8858819407952356	0.8809341500765697
distil-mBERT	first	3	0.8850937116833071	0.8839012251148545
distil-mBERT	first	3	0.8836048344718865	0.8777756508422665
distil-mBERT	first	4	0.9005079698721318	0.8961523736600306
distil-mBERT	first	4	0.9030478192327904	0.8973009188361409
distil-mBERT	first	4	0.9003328078472587	0.8916539050535988
distil-mBERT	first	5	0.8994569977228937	0.894812404287902
distil-mBERT	first	5	0.8980557015239096	0.8904096477794793
distil-mBERT	first	5	0.8978805394990366	0.8919410413476263
distil-mBERT	first	6	0.8808022420739183	0.8742343032159265
distil-mBERT	first	6	0.8819407952355929	0.8787327718223583
distil-mBERT	first	6	0.8809774040987913	0.8794984686064319
distil-mBERT	last	0	0.8505867927833246	0.8315467075038285
distil-mBERT	last	0	0.8509371168330706	0.8318338437978561
distil-mBERT	last	0	0.8504992117708879	0.8302067381316999
distil-mBERT	last	1	0.8857943597827991	0.8710758039816233
distil-mBERT	last	1	0.8866701699071641	0.8697358346094947
distil-mBERT	last	1	0.8857943597827991	0.8715543644716692
distil-mBERT	last	2	0.9231038710807496	0.9117534456355284
distil-mBERT	last	2	0.9206516027325276	0.9093606431852986
distil-mBERT	last	2	0.9245051672797338	0.9113705972434916
distil-mBERT	last	3	0.9274829217025748	0.9175918836140888
distil-mBERT	last	3	0.9297600280259242	0.9205589586523736
distil-mBERT	last	3	0.9286214748642494	0.9210375191424196
distil-mBERT	last	4	0.9298476090383604	0.9231431852986216
distil-mBERT	last	4	0.9307234191627256	0.9243874425727412
distil-mBERT	last	4	0.9322998773865826	0.9274502297090352
distil-mBERT	last	5	0.928709055876686	0.9180704441041349
distil-mBERT	last	5	0.9253809774040987	0.918166156202144
distil-mBERT	last	5	0.9250306533543527	0.9183575803981624
distil-mBERT	last	6	0.9155719040112104	0.9069678407350688
distil-mBERT	last	6	0.9136451217376071	0.9047664624808576
distil-mBERT	last	6	0.9142581888246628	0.9052450229709036
